Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job? ,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13363615118,415544481,02/28/2022 08:24:29 PM,02/28/2022 08:26:00 PM,,,,,5ccc60c51631c4375ff5bd03bc,smc,,,,Advertising & Marketing,Marketing specialist,,Entry Level,,Minnesota,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Dissatisfied,Once a month,Rarely,Never,Average,Less than once per week,Somewhat desirable,Disagree,"$10,000-$24,999",Male,West North Central,Android Phone / Tablet,18-29
13363614421,415544481,02/28/2022 08:24:28 PM,02/28/2022 08:25:43 PM,,,,,3f0a616debda279a119a3b5331,smc,,,,Healthcare & Pharmaceuticals,Operations manager,,Senior Management,,Nevada,Very happy,Bachelor's Degree,"Single, never married",Male,,Satisfied,About once a week,Always,Never,Above average,Every day of the week,Very desirable,Disagree,"$200,000+",Male,Mountain,iOS Phone / Tablet,45-60
13363611062,415544481,02/28/2022 08:22:03 PM,02/28/2022 08:24:19 PM,,,,,791f70ddb2b23e1bcc0306aad0,smc,,,,Retail & Consumer Durables,Laborer,,Owner/Executive/C-Level,,California,Very happy,High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Above average,I never work out or exercise,Somewhat desirable,Agree,"$10,000-$24,999",Male,Pacific,Android Phone / Tablet,30-44
13363609708,415544481,02/28/2022 08:21:22 PM,02/28/2022 08:23:45 PM,,,,,285e32bbdaa4fabcd48d2a62bb,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,,Intermediate,,New York,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,About once a week,Never,Never,Far below average,I never work out or exercise,Not so desirable,Neither agree nor disagree,Prefer not to answer,Male,Middle Atlantic,iOS Phone / Tablet,30-44
13363606972,415544481,02/28/2022 08:18:40 PM,02/28/2022 08:22:35 PM,,,,,7d71e9ebd5b773e3dff64b3641,smc,,,,I am currently not employed,Customer service representative,Entrepreneur,Owner/Executive/C-Level,,Florida,Very happy,Trade/Vocation School,Married or domestic partnership,Female,,Satisfied,A few times a week,Usually,Never,Average,Several times per week,Very desirable,Disagree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363606527,415544481,02/28/2022 08:19:18 PM,02/28/2022 08:22:24 PM,,,,,e88c0408ae5d3f8634bd1e549a,smc,,,,I am currently not employed,Administrative assistant,,Other (please specify),Retired,North Carolina,Very happy,High School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Strongly disagree,"$50,000-$74,999",Female,South Atlantic,Android Phone / Tablet,> 60
13363603999,415544481,02/28/2022 08:17:32 PM,02/28/2022 08:21:20 PM,,,,,b1ab87f1e85415b86938a7b233,smc,,,,Healthcare & Pharmaceuticals,Retail sales associate,,Entry Level,,Texas,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Male,,Satisfied,A few times a month,Always,Never,Average,Several times per week,Very desirable,Disagree,"$100,000-$124,999",Male,West South Central,iOS Phone / Tablet,18-29
13363603350,415544481,02/28/2022 08:19:52 PM,02/28/2022 08:21:04 PM,,,,,449331f334a57a429876367ce9,smc,,,,Education,Operations manager,,Middle Management,,Missouri,Somewhat unhappy,Master's Degree,Married or domestic partnership,Male,,Satisfied,A few times a month,Usually,Never,Average,Less than once per week,Not so desirable,Strongly agree,"$25,000-$49,999",Male,West North Central,Android Phone / Tablet,30-44
13363601305,415544481,02/28/2022 08:03:15 PM,02/28/2022 08:20:14 PM,,,,,231d37059998d1e8cc1eb2d1b0,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,,Entry Level,,Kentucky,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Male,,Very dissatisfied,Less than once a month,Never,Never,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree,Prefer not to answer,Male,East South Central,Android Phone / Tablet,18-29
13363599892,415544481,02/28/2022 08:17:50 PM,02/28/2022 08:19:38 PM,,,,,577e518d09851446989854445f,smc,,,,I am currently not employed,Retail sales associate,,Intermediate,,Alabama,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Sometimes,Average,Less than once per week,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Female,East North Central,Android Phone / Tablet,45-60
13363599617,415544481,02/28/2022 08:17:13 PM,02/28/2022 08:19:32 PM,,,,,8122ea18886c5d1e98cfed9766,smc,,,,"Construction, Machinery, and Homes",Office clerk,human resources,Intermediate,,New York,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Satisfied,Once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree,Prefer not to answer,Male,Middle Atlantic,Android Phone / Tablet,30-44
13363592010,415544481,02/28/2022 08:14:48 PM,02/28/2022 08:16:17 PM,,,,,dc6729b13ada115956783de16f,smc,,,,Transportation & Delivery,Truck Driver,,Entry Level,,California,Somewhat happy,Bachelor's Degree,Divorced,Male,,Satisfied,Once a month,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$75,000-$99,999",Male,Pacific,iOS Phone / Tablet,45-60
13363587125,415544481,02/28/2022 07:20:01 PM,02/28/2022 08:14:15 PM,,,,,689883f7e7fffe63c9abcfc0a6,smc,,,,Automotive,Cashier,,Entry Level,,Pennsylvania,Somewhat happy,High School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Usually,Rarely,Far above average,Several times per week,Very desirable,Disagree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,18-29
13363582995,415544481,02/28/2022 08:10:37 PM,02/28/2022 08:12:31 PM,,,,,981237418f610d3d9790fb8efd,smc,,,,Entertainment & Leisure,Operations manager,,Middle Management,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Usually,Rarely,Above average,Once per week,Very desirable,Somewhat agree,"$125,000-$149,999",Male,Pacific,Android Phone / Tablet,30-44
13363582514,415544481,02/28/2022 08:10:34 PM,02/28/2022 08:12:19 PM,,,,,b9e339ceb346c2c5a6c1ad38b2,smc,,,,Food & Beverages,Food preparation worker,,Middle Management,,New Mexico,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,About once a week,Always,Never,Above average,Several times per week,Somewhat desirable,Somewhat disagree,"$100,000-$124,999",Male,Mountain,Android Phone / Tablet,18-29
13363581046,415544481,02/28/2022 08:09:33 PM,02/28/2022 08:11:41 PM,,,,,30397b591c0ba53969d23b010e,smc,,,,Transportation & Delivery,Operations manager,sales,Intermediate,,Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Usually,Rarely,Average,Once per week,Somewhat desirable,Disagree,"$50,000-$74,999",Male,East North Central,Android Phone / Tablet,45-60
13363575700,415544481,02/28/2022 08:08:12 PM,02/28/2022 08:09:32 PM,,,,,02c8b0d8f189f005364309ad99,smc,,,,Food & Beverages,Food preparation worker,,Senior Management,,Kansas,Very happy,High School,Married or domestic partnership,Female,,Very satisfied,Less than once a month,Never,Never,Far below average,Once per week,Not at all desirable,Strongly disagree,"$10,000-$24,999",Female,West North Central,Android Phone / Tablet,45-60
13363573410,415544481,02/28/2022 08:05:01 PM,02/28/2022 08:08:31 PM,,,,,0c2d6c61b2744f77bb207c7b54,smc,,,,Education,Laborer,Educator,Senior Management,,New York,Very happy,Bachelor's Degree,Divorced,Female,,Satisfied,About once a week,,Never,Average,Several times per week,Very desirable,Neither agree nor disagree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363570815,415544481,02/28/2022 08:04:47 PM,02/28/2022 08:07:30 PM,,,,,64d354815679e6959d1db042ae,smc,,,,"Utilities, Energy, and Extraction",Construction worker,Engineer,Entry Level,,Alabama,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Always,Never,Above average,Less than once per week,Somewhat desirable,Strongly agree,"$50,000-$74,999",Female,East South Central,Android Phone / Tablet,18-29
13363570573,415544481,02/28/2022 08:05:45 PM,02/28/2022 08:07:25 PM,,,,,264bd3934bf6bd24e1fddf4e62,smc,,,,Retail & Consumer Durables,Retail sales associate,,Entry Level,,Indiana,Somewhat happy,High School,"Single, never married",Female,,Very satisfied,A few times a week,Rarely,Rarely,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree,"$100,000-$124,999",Female,East North Central,iOS Phone / Tablet,18-29
13363570443,415544481,02/28/2022 08:04:40 PM,02/28/2022 08:07:22 PM,,,,,d325f8804e3d7d451998355e11,smc,,,,Healthcare & Pharmaceuticals,Laborer,Biller,Entry Level,,Arkansas,Very happy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Never,Always,Below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree,"$50,000-$74,999",Female,West South Central,iOS Phone / Tablet,30-44
13363566302,415544481,02/28/2022 08:04:33 PM,02/28/2022 08:05:44 PM,,,,,9e1bc29ee48e3fe0d862edca08,smc,,,,Education,Administrative assistant,,Entry Level,,Arizona,Somewhat happy,High School,"Single, never married",Female,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Female,Mountain,iOS Phone / Tablet,18-29
13363564216,415544481,02/28/2022 08:04:06 PM,02/28/2022 08:04:57 PM,,,,,6dec39fd7c4343a97715f7b4e6,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Middle Management,,California,,Ph.D. or higher,,,,Neither satisfied nor dissatisfied,Less than once a month,,,Average,,,,"$100,000-$124,999",Female,Pacific,Android Phone / Tablet,30-44
13363564130,415544481,02/28/2022 07:55:37 PM,02/28/2022 08:04:54 PM,,,,,9c9e81d02372fd03e26a1d6add,smc,,,,Education,Software developer,,Middle Management,,Illinois,Very happy,High School,Divorced,Female,,Very satisfied,Every day,Always,Never,Average,Several times per week,Very desirable,Strongly disagree,"$50,000-$74,999",Female,East North Central,iOS Phone / Tablet,30-44
13363563857,415544481,02/28/2022 08:01:40 PM,02/28/2022 08:04:48 PM,,,,,e59439eb0fd5eb0182687fa9c1,smc,,,,Nonprofit,Customer service representative,Case management,Other (please specify),Professional,New Jersey,Somewhat happy,Master's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Always,Sometimes,Average,Several times per week,Not at all desirable,Strongly agree,"$25,000-$49,999",Female,Middle Atlantic,Android Phone / Tablet,45-60
13363562853,415544481,02/28/2022 08:02:24 PM,02/28/2022 08:04:24 PM,,,,,a1cfe3a66e47e55086706d6a44,smc,,,,I am currently not employed,Operations manager,I'm retired,Other (please specify),retired by,Alabama,Very happy,High School,Married or domestic partnership,Male,,Satisfied,Less than once a month,Always,Never,Below average,I never work out or exercise,Not so desirable,Neither agree nor disagree,"$25,000-$49,999",Male,East South Central,Android Phone / Tablet,> 60
13363557821,415544481,02/28/2022 07:59:30 PM,02/28/2022 08:02:30 PM,,,,,85416a64d577b5e4c4824c38a8,smc,,,,Insurance,Software developer,,Middle Management,,New York,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Disagree,"$100,000-$124,999",Male,Middle Atlantic,Windows Desktop / Laptop,> 60
13363552675,415544481,02/28/2022 07:58:58 PM,02/28/2022 08:00:31 PM,,,,,35c3b7f16caffa47a598b8bfdf,smc,,,,"Construction, Machinery, and Homes",Retail sales associate,,Middle Management,,New York,Very happy,Bachelor's Degree,"Single, never married",Male,,Very satisfied,About once a week,Always,Sometimes,Above average,Several times per week,Very desirable,Strongly agree,"$75,000-$99,999",Male,Middle Atlantic,Android Phone / Tablet,30-44
13363546242,415544481,02/28/2022 07:55:11 PM,02/28/2022 07:58:31 PM,,,,,db8e7ae7736303f6abcb8be16d,smc,,,,Healthcare & Pharmaceuticals,Laborer,Exercise instructor ,Entry Level,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Very dissatisfied,Less than once a month,Always,Never,Average,Several times per week,Somewhat desirable,Agree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,> 60
13363545930,415544481,02/28/2022 07:55:09 PM,02/28/2022 07:57:41 PM,,,,,042c085ff69cfec590e68ca716,smc,,,,Real Estate,Retail sales associate,Real Estate Agent,Middle Management,,New Jersey,Somewhat happy,Trade/Vocation School,Married or domestic partnership,Female,,Satisfied,About once a week,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Disagree,"$100,000-$124,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363543778,415544481,02/28/2022 07:55:38 PM,02/28/2022 07:56:45 PM,,,,,62f1ea03479f9ba06ea3b0d712,smc,,,,Government,Administrative assistant,,Intermediate,,Colorado,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Above average,Less than once per week,Not so desirable,Neither agree nor disagree,"$100,000-$124,999",Female,Mountain,iOS Phone / Tablet,18-29
13363543686,415544481,02/28/2022 07:55:12 PM,02/28/2022 07:56:43 PM,,,,,a188c6d93ee4c3b497bd6bf088,smc,,,,I am currently not employed,Customer service representative,,Middle Management,,California,Very unhappy,High School,Divorced,Female,,Very dissatisfied,Less than once a month,Rarely,Always,Above average,Every day of the week,Extremely desirable,Neither agree nor disagree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,45-60
13363543153,415544481,02/28/2022 07:55:40 PM,02/28/2022 07:56:31 PM,,,,,c2dd7d9fac254e106f1efd5bde,smc,,,,Advertising & Marketing,Food preparation worker,,Owner/Executive/C-Level,,California,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Sometimes,Usually,Average,Several times per week,,Somewhat agree,"$0-$9,999",Female,Pacific,iOS Phone / Tablet,18-29
13363540414,415544481,02/28/2022 07:50:45 PM,02/28/2022 07:55:21 PM,,,,,65ae3cd25d18478845de48211f,smc,,,,Retail & Consumer Durables,Marketing specialist,Product Designer,Intermediate,,North Carolina,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Always,Never,Above average,Several times per week,Very desirable,Strongly agree,"$100,000-$124,999",Male,South Atlantic,iOS Phone / Tablet,30-44
13363538076,415544481,02/28/2022 07:43:51 PM,02/28/2022 07:54:23 PM,,,,,45de10052523c358e254e9d752,smc,,,,Insurance,Marketing specialist,,Intermediate,,Texas,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Always,Never,Far above average,Once per week,Very desirable,Disagree,"$100,000-$124,999",Male,West South Central,Android Phone / Tablet,45-60
13363537722,415544481,02/28/2022 07:52:27 PM,02/28/2022 07:54:16 PM,,,,,f1a75a5d018cd99ef367293ef2,smc,,,,Manufacturing,Laborer,,Intermediate,,Iowa,Neither happy nor unhappy,High School,"Single, never married",Female,,Dissatisfied,Less than once a month,Usually,Never,Average,Less than once per week,Not at all desirable,Agree,"$25,000-$49,999",Female,West North Central,Android Phone / Tablet,30-44
13363536250,415544481,02/28/2022 07:51:44 PM,02/28/2022 07:53:38 PM,,,,,1ba7fd7d579608169b39a789bc,smc,,,,Finance & Financial Services,Administrative assistant,analyst,Intermediate,,South Carolina,Very happy,High School,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Rarely,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree,"$50,000-$74,999",Female,South Atlantic,Android Phone / Tablet,45-60
13363535249,415544481,02/28/2022 07:49:32 PM,02/28/2022 07:53:12 PM,,,,,7127d812e14d665ebdab5bfda0,smc,,,,I am currently not employed,Cashier,,Entry Level,,California,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Average,I never work out or exercise,Not so desirable,Strongly disagree,"$10,000-$24,999",Female,Pacific,iOS Phone / Tablet,18-29
13363533310,415544481,02/28/2022 07:50:33 PM,02/28/2022 07:52:23 PM,,,,,6c6f4ff25943948ec403d75490,smc,,,,I am currently not employed,Electrician,,Owner/Executive/C-Level,,Florida,Very happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,A few times a month,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Male,South Atlantic,Windows Desktop / Laptop,> 60
13363532823,415544481,02/28/2022 07:47:07 PM,02/28/2022 07:52:10 PM,,,,,a2354bfcacad2eb8839edf8b43,smc,,,,Retail & Consumer Durables,Marketing specialist,owner,Owner/Executive/C-Level,,Florida,Very happy,Ph.D. or higher,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Above average,I never work out or exercise,Very desirable,Strongly disagree,"$50,000-$74,999",Male,South Atlantic,Android Phone / Tablet,> 60
13363532807,415544481,02/28/2022 07:50:36 PM,02/28/2022 07:52:10 PM,,,,,a71db1e175c34eac50c21bb904,smc,,,,"Construction, Machinery, and Homes",Carpenter,,Owner/Executive/C-Level,,New Jersey,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Always,Never,Far above average,Several times per week,Very desirable,Somewhat disagree,"$125,000-$149,999",Male,Middle Atlantic,iOS Phone / Tablet,45-60
13363530849,415544481,02/28/2022 07:49:36 PM,02/28/2022 07:51:19 PM,,,,,45fa656383569a1526cb1fe091,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,,Entry Level,,Ohio,Neither happy nor unhappy,Master's Degree,Married or domestic partnership,Female,,Dissatisfied,Less than once a month,Rarely,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat agree,"$75,000-$99,999",Female,East North Central,iOS Phone / Tablet,30-44
13363530703,415544481,02/28/2022 07:50:41 PM,02/28/2022 07:51:15 PM,,,,,22e4619314981ceefda9dfa2e8,smc,,,,Education,Bartender,,Middle Management,,District of Columbia (DC),Neither happy nor unhappy,No schooling completed,Divorced,Male,,Dissatisfied,A few times a month,Sometimes,Sometimes,Below average,Less than once per week,Extremely desirable,Somewhat agree,"$50,000-$74,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13363529918,415544481,02/28/2022 07:48:31 PM,02/28/2022 07:50:55 PM,,,,,adf347650e2690452298ddda88,smc,,,,Education,Laborer,Teacher,Other (please specify),Teacher,New York,Very unhappy,Master's Degree,Married or domestic partnership,Female,,Dissatisfied,Less than once a month,Rarely,Usually,Average,Several times per week,Not so desirable,Neither agree nor disagree,Prefer not to answer,Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363529790,415544481,02/28/2022 07:48:52 PM,02/28/2022 07:50:53 PM,,,,,408fac8c06e2af71b4f4fe3cd1,smc,,,,Education,Operations manager,Teacher,Other (please specify),Professional,Texas,Neither happy nor unhappy,Master's Degree,"Single, never married",Female,,Dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat disagree,"$50,000-$74,999",Female,West South Central,iOS Phone / Tablet,30-44
13363526520,415544481,02/28/2022 07:47:31 PM,02/28/2022 07:49:30 PM,,,,,9abbbcd0b9d7cc4ed2c2bf5e60,smc,,,,Education,Operations manager,,Entry Level,,Minnesota,Somewhat happy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Neither agree nor disagree,"$50,000-$74,999",Male,West North Central,iOS Phone / Tablet,30-44
13363526508,415544481,02/28/2022 07:47:34 PM,02/28/2022 07:49:29 PM,,,,,c51e13da4ac01b2f5ee174734b,smc,,,,Retail & Consumer Durables,Line supervisor,,Middle Management,,Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Far above average,Every day of the week,Very desirable,Disagree,"$50,000-$74,999",Male,East North Central,Android Phone / Tablet,30-44
13363523749,415544481,02/28/2022 07:46:57 PM,02/28/2022 07:48:19 PM,,,,,33a056329875ee475bda8da798,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,West Virginia,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,A few times a month,Usually,Sometimes,Average,Less than once per week,Not so desirable,Disagree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13363522430,415544481,02/28/2022 07:45:36 PM,02/28/2022 07:47:47 PM,,,,,fdeef61d79e68cb84c345b2ccb,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,,Intermediate,,Tennessee,Very happy,Bachelor's Degree,Divorced,Female,,Satisfied,A few times a month,Always,Never,Above average,I never work out or exercise,Somewhat desirable,Strongly agree,"$25,000-$49,999",Female,East South Central,iOS Phone / Tablet,45-60
13363522336,415544481,02/28/2022 07:46:17 PM,02/28/2022 07:47:44 PM,,,,,39c1bef18b752ccc55a4e95bc2,smc,,,,"Telecommunications, Technology, Internet & Electronics",Operations manager,,Middle Management,,Mississippi,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Dissatisfied,Less than once a month,Usually,Never,Average,I never work out or exercise,Somewhat desirable,Agree,"$200,000+",Male,East South Central,iOS Phone / Tablet,30-44
13363516265,415544481,02/28/2022 07:42:19 PM,02/28/2022 07:46:13 PM,,,,,be7f13cdb79684cb4e729e4f10,smc,,,,Nonprofit,Bartender,Case manager,Middle Management,,Texas,Very happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Sometimes,Below average,I never work out or exercise,Somewhat desirable,Disagree,"$50,000-$74,999",Female,West South Central,Android Phone / Tablet,45-60
13363516728,415544481,02/28/2022 07:44:08 PM,02/28/2022 07:45:27 PM,,,,,b86fc3625b37b4381ebe27b7a8,smc,,,,Education,Bookkeeper,,Owner/Executive/C-Level,,Virginia,Very happy,Bachelor's Degree,"Single, never married",Female,,Very satisfied,A few times a week,Usually,Never,Above average,Several times per week,Somewhat desirable,Strongly agree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363514925,415544481,02/28/2022 07:42:28 PM,02/28/2022 07:44:40 PM,,,,,a418701e7b89ee3250ae0887dc,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Entry Level,,Texas,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Sometimes,Rarely,Average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$25,000-$49,999",Female,West South Central,Android Phone / Tablet,45-60
13363513950,415544481,02/28/2022 07:29:27 PM,02/28/2022 07:44:16 PM,,,,,5e430c37580c8b6a660ef24467,smc,,,,Education,Operations manager,SVP,Owner/Executive/C-Level,,New York,Very happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Always,Never,Average,Several times per week,Somewhat desirable,Strongly agree,"$200,000+",Male,Middle Atlantic,iOS Phone / Tablet,45-60
13363508066,415544481,02/28/2022 07:39:42 PM,02/28/2022 07:41:49 PM,,,,,afa3e741382ce582f59343c26a,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,X-ray,Senior Management,,Florida,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,A few times a month,Always,Never,Far above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$150,000-$174,999",Male,South Atlantic,iOS Phone / Tablet,45-60
13363507177,415544481,02/28/2022 07:36:48 PM,02/28/2022 07:41:47 PM,,,,,ef51ca3cf096217e17030a6b77,smc,,,,Retail & Consumer Durables,Office clerk,Manager/Owner,Senior Management,,New York,Somewhat happy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Usually,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$125,000-$149,999",Male,Middle Atlantic,MacOS Desktop / Laptop,> 60
13363506577,415544481,02/28/2022 07:38:33 PM,02/28/2022 07:41:11 PM,,,,,637ca257ec25abb6d8e1a55681,smc,,,,I am currently not employed,Laborer,don't work,Other (please specify),none,North Carolina,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Satisfied,Less than once a month,Sometimes,Sometimes,Average,I never work out or exercise,Not so desirable,Somewhat agree,"$25,000-$49,999",Female,South Atlantic,Android Phone / Tablet,45-60
13363504393,415544481,02/28/2022 07:39:01 PM,02/28/2022 07:40:15 PM,,,,,72b48ec003244460c29bf2e106,smc,,,,Retail & Consumer Durables,Office clerk,,Middle Management,,Kansas,Somewhat happy,Bachelor's Degree,Divorced,Female,,Dissatisfied,About once a week,Sometimes,Sometimes,Average,Once per week,Somewhat desirable,Somewhat disagree,"$50,000-$74,999",Female,West North Central,iOS Phone / Tablet,45-60
13363503792,415544481,02/28/2022 07:38:16 PM,02/28/2022 07:40:00 PM,,,,,a2e356f240867d218de47b1451,smc,,,,"Telecommunications, Technology, Internet & Electronics",Office clerk,,Intermediate,,Washington,Somewhat happy,High School,Married or domestic partnership,Female,,Very satisfied,Every day,Usually,Rarely,Above average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$25,000-$49,999",Female,Pacific,Android Phone / Tablet,18-29
13363503655,415544481,02/28/2022 07:37:51 PM,02/28/2022 07:39:57 PM,,,,,1aacd5c3192b39daf153adb698,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,,Intermediate,,Texas,Very happy,Trade/Vocation School,Married or domestic partnership,,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Always,Average,I never work out or exercise,Not so desirable,Agree,"$100,000-$124,999",Female,West South Central,Android Phone / Tablet,> 60
13363499219,415544481,02/28/2022 07:36:03 PM,02/28/2022 07:38:11 PM,,,,,4bb7b9f257e10787824ece33d0,smc,,,,Business Support & Logistics,Lawyer,Paralegal,Intermediate,,Pennsylvania,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a week,Sometimes,Never,Average,Several times per week,Somewhat desirable,Disagree,"$50,000-$74,999",Female,Middle Atlantic,iOS Phone / Tablet,18-29
13363498549,415544481,02/28/2022 07:34:28 PM,02/28/2022 07:37:55 PM,,,,,568ede9a7eb197617a008eeb5d,smc,,,,Finance & Financial Services,Office clerk,,Entry Level,,California,Very happy,High School,"Single, never married",Female,,Very dissatisfied,Less than once a month,Always,Sometimes,Far above average,Several times per week,Extremely desirable,Agree,"$0-$9,999",Female,Pacific,iOS Phone / Tablet,45-60
13363497849,415544481,02/28/2022 07:34:50 PM,02/28/2022 07:37:38 PM,,,,,49051a6e7a671106f53825d1db,smc,,,,Education,Lawyer,,Owner/Executive/C-Level,,Florida,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Somewhat desirable,Agree,"$50,000-$74,999",Female,South Atlantic,iOS Phone / Tablet,30-44
13363496737,415544481,02/28/2022 07:35:02 PM,02/28/2022 07:37:12 PM,,,,,6d0e4bd61b082c257839e6fbaa,smc,,,,Healthcare & Pharmaceuticals,Customer service representative,Pre-auth specialist,Intermediate,,Washington,Somewhat happy,Trade/Vocation School,"Single, never married",Female,,Very dissatisfied,Less than once a month,Sometimes,Never,Average,Less than once per week,Not at all desirable,Strongly agree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,30-44
