Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13386225440,415873795,2022-03-09 22:48:30,2022-03-09 22:49:56,,,,,9ab2ab3a83cabaaddca0a61316,smc,,,,Retail & Consumer Durables,Laborer,Entry Level,,Kentucky,Somewhat unhappy,Some High School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Usually,Rarely,Average,Every day of the week,Not so desirable,Neither agree nor disagree,"$25,000-$49,999",Female,East South Central,Android Phone / Tablet,45-60
13386223513,415873795,2022-03-09 22:47:16,2022-03-09 22:49:48,,,,,650726fe5304c8943c1add22ae,smc,,,,Education,"Police officer, Professor",Other (please specify),Professor,California,Somewhat happy,Ph.D. or higher,Divorced,Female,,Satisfied,A few times a week,Always,Never,Average,Several times per week,Very desirable,Disagree,"$125,000-$149,999",Female,Pacific,iOS Phone / Tablet,> 60
13386222990,415873795,2022-03-09 22:44:35,2022-03-09 22:48:57,,,,,f4c242b9b5dd6822e55d56f294,smc,,,,Advertising & Marketing,Marketing specialist,Owner/Executive/C-Level,,California,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a month,Usually,Never,Above average,Once per week,Somewhat desirable,Somewhat disagree,"$125,000-$149,999",Female,Pacific,Android Phone / Tablet,45-60
13386222788,415873795,2022-03-09 22:47:40,2022-03-09 22:48:54,,,,,f3b8e7661a0d393da088d6f921,smc,,,,Manufacturing,Laborer,Entry Level,,Massachusetts,Neither happy nor unhappy,High School,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Far below average,I never work out or exercise,Not at all desirable,Neither agree nor disagree,"$75,000-$99,999",Female,New England,Windows Desktop / Laptop,45-60
13386222661,415873795,2022-03-09 22:46:07,2022-03-09 22:48:50,,,,,dc93092d6c3b4e8e8371beaae5,smc,,,,I am currently not employed,Bookkeeper,Other (please specify),Retired,Colorado,Very unhappy,Bachelor's Degree,Separated,Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Average,Several times per week,Very desirable,Strongly disagree,"$10,000-$24,999",Female,Mountain,iOS Phone / Tablet,> 60
13386222204,415873795,2022-03-09 22:47:10,2022-03-09 22:48:40,,,,,c5965ce7bcab5acf70a7cd7efc,smc,,,,Education,Customer service representative,Entry Level,,California,Very happy,Some High School,Married or domestic partnership,Female,,Very satisfied,Less than once a month,Never,Never,Far below average,Several times per week,Somewhat desirable,Agree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,45-60
13386222137,415873795,2022-03-09 22:45:09,2022-03-09 22:48:39,,,,,824b06571743f09785e4a8bede,smc,,,,Healthcare & Pharmaceuticals,"Medical assistant, Recovery Specialists",Intermediate,,Illinois,Very happy,Trade/Vocation School,"Single, never married",Female,,Neither satisfied nor dissatisfied,A few times a month,Rarely,Sometimes,Average,Less than once per week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Female,East North Central,iOS Phone / Tablet,> 60
13386221908,415873795,2022-03-09 22:46:38,2022-03-09 22:48:34,,,,,ad6b6d7f73eb93f5552a0e8d35,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Owner/Executive/C-Level,,Florida,Very happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,About once a week,Usually,Rarely,Above average,I never work out or exercise,Somewhat desirable,Disagree,"$50,000-$74,999",Female,South Atlantic,Windows Desktop / Laptop,> 60
13386221497,415873795,2022-03-09 22:46:13,2022-03-09 22:48:25,,,,,78087f9de169bcf87613ba02a3,smc,,,,Education,Marketing specialist,Senior Management,,New York,Somewhat happy,Master's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Sometimes,Rarely,Above average,Once per week,Very desirable,Agree,"$125,000-$149,999",Female,Middle Atlantic,Android Phone / Tablet,> 60
13386220586,415873795,2022-03-09 22:46:11,2022-03-09 22:48:04,,,,,d05aa55e22429a66fb13381188,smc,,,,I am currently not employed,"Janitor, Housewife",Other (please specify),None of these,Ohio,Neither happy nor unhappy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Never,Usually,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Female,East North Central,iOS Phone / Tablet,45-60
13386220513,415873795,2022-03-09 22:45:24,2022-03-09 22:48:03,,,,,993f475fa1d5ef794a583d770c,smc,,,,Education,"Administrative assistant, Teacher",Senior Management,,Illinois,Somewhat happy,Master's Degree,Married or domestic partnership,Female,,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Somewhat disagree,"$75,000-$99,999",Female,East North Central,iOS Phone / Tablet,45-60
13386219810,415873795,2022-03-09 22:45:06,2022-03-09 22:47:47,,,,,1e5b304be2aa011105ac6c0be8,smc,,,,Advertising & Marketing,Retail sales associate,Senior Management,,Ohio,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Satisfied,Every day,Always,Sometimes,Far above average,Every day of the week,Somewhat desirable,Strongly agree,"$25,000-$49,999",Female,East North Central,iOS Phone / Tablet,45-60
13386219236,415873795,2022-03-09 22:44:31,2022-03-09 22:47:34,,,,,dc11e984570eea867f4f7a628c,smc,,,,Food & Beverages,"Cashier, Manager",Owner/Executive/C-Level,,California,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Usually,Never,Above average,Once per week,Very desirable,Strongly disagree,Prefer not to answer,Female,Pacific,iOS Phone / Tablet,45-60
13386218671,415873795,2022-03-09 22:45:21,2022-03-09 22:47:22,,,,,524af850a5339dcd856541d0f4,smc,,,,Food & Beverages,Food preparation worker,Intermediate,,North Carolina,Somewhat happy,High School,"Single, never married",Female,,Satisfied,A few times a week,Usually,Never,Above average,Once per week,Very desirable,Neither agree nor disagree,"$10,000-$24,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13386218591,415873795,2022-03-09 22:44:14,2022-03-09 22:47:21,,,,,d88e344993382ef2a93ce3bb6e,smc,,,,Government,Office clerk,Intermediate,,Colorado,Somewhat happy,Trade/Vocation School,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Rarely,Average,Less than once per week,Somewhat desirable,Disagree,"$25,000-$49,999",Female,Mountain,Windows Desktop / Laptop,45-60
13386218299,415873795,2022-03-09 22:46:40,2022-03-09 22:47:14,,,,,07e3136dd5307501e4a2dee581,smc,,,,"Utilities, Energy, and Extraction",Software developer,Other (please specify),Hi,Louisiana,Very happy,High School,"Single, never married",Female,,Satisfied,A few times a month,Rarely,Always,Below average,Once per week,Very desirable,Agree,"$50,000-$74,999",Female,Pacific,iOS Phone / Tablet,45-60
13386218004,415873795,2022-03-09 22:44:49,2022-03-09 22:47:07,,,,,fc66855f6fa88833ac1956c17f,smc,,,,I am currently not employed,Customer service representative,Other (please specify),Retired,Mississippi,Very happy,High School,Married or domestic partnership,Female,,Satisfied,About once a week,Rarely,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$25,000-$49,999",Female,East South Central,iOS Phone / Tablet,> 60
13386217958,415873795,2022-03-09 22:45:03,2022-03-09 22:47:05,,,,,a37586c86a1c79ba6fa6401321,smc,,,,Government,Customer service representative,Intermediate,,Colorado,Neither happy nor unhappy,Trade/Vocation School,Married or domestic partnership,Female,,Dissatisfied,Less than once a month,Usually,Never,Average,I never work out or exercise,Not so desirable,Somewhat agree,"$100,000-$124,999",Female,Mountain,Android Phone / Tablet,45-60
13386216984,415873795,2022-03-09 22:45:14,2022-03-09 22:46:43,,,,,cfb55f062591739d2e2cbabee5,smc,,,,Manufacturing,Marketing specialist,Middle Management,,California,Somewhat unhappy,Bachelor's Degree,"Single, never married",Female,,Very dissatisfied,Less than once a month,Sometimes,Sometimes,Average,I never work out or exercise,Not so desirable,Disagree,"$25,000-$49,999",Female,Pacific,iOS Phone / Tablet,45-60
13386216557,415873795,2022-03-09 22:44:44,2022-03-09 22:46:33,,,,,5840f8ab0972410b07b968c93b,smc,,,,Nonprofit,Laborer,Entry Level,,Michigan,Very unhappy,Trade/Vocation School,Married or domestic partnership,Female,,Dissatisfied,Less than once a month,Always,Never,Below average,Less than once per week,Not so desirable,Agree,"$10,000-$24,999",Female,East North Central,Android Phone / Tablet,45-60
13386212280,415873795,2022-03-09 22:39:14,2022-03-09 22:46:07,,,,,490aae94f355bc33563b43c249,smc,,,,Education,"Laborer, Librarian",Intermediate,,California,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Sometimes,Rarely,Above average,Less than once per week,Somewhat desirable,Strongly disagree,"$50,000-$74,999",Male,Pacific,Windows Desktop / Laptop,45-60
13386215257,415873795,2022-03-09 22:44:22,2022-03-09 22:46:06,,,,,1543b55c4da6d49d621c2b3250,smc,,,,I am currently not employed,"Laborer, Landscape Gardener",Intermediate,,Massachusetts,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Sometimes,Average,Several times per week,Not so desirable,Strongly agree,"$10,000-$24,999",Female,New England,Android Phone / Tablet,45-60
13386214688,415873795,2022-03-09 22:44:51,2022-03-09 22:45:53,,,,,5561d72944fb77b77ee09728e5,smc,,,,"Telecommunications, Technology, Internet & Electronics",Software developer,Owner/Executive/C-Level,,Texas,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Always,Never,Average,Every day of the week,,Strongly disagree,"$200,000+",Female,West South Central,iOS Phone / Tablet,45-60
13386213898,415873795,2022-03-09 22:42:50,2022-03-09 22:45:37,,,,,afb0242138f77c69251392de76,smc,,,,Education,"Customer service representative, Teacher",Intermediate,,Virginia,Very happy,Master's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a week,Sometimes,Sometimes,Average,Several times per week,Somewhat desirable,Strongly disagree,"$75,000-$99,999",Female,South Atlantic,Android Phone / Tablet,> 60
13386210236,415873795,2022-03-09 22:42:53,2022-03-09 22:44:10,,,,,c8ea61ff6d2494f258859603f6,smc,,,,Healthcare & Pharmaceuticals,Cashier,Entry Level,,Indiana,Somewhat happy,Trade/Vocation School,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Far below average,Every day of the week,Not at all desirable,Neither agree nor disagree,"$10,000-$24,999",Female,East North Central,iOS Phone / Tablet,45-60
13386209267,415873795,2022-03-09 22:38:47,2022-03-09 22:43:48,,,,,93b3d718ed32cbba0bbcd79f8f,smc,,,,Advertising & Marketing,Retail sales associate,Senior Management,,New York,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Sometimes,Sometimes,Above average,Once per week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Male,Middle Atlantic,iOS Phone / Tablet,18-29
13386205944,415873795,2022-03-09 22:39:36,2022-03-09 22:42:32,,,,,12e2dbb05fd25aed2549d35893,smc,,,,I am currently not employed,Customer service representative,Other (please specify),disabled,Texas,Neither happy nor unhappy,Trade/Vocation School,Divorced,Female,,Satisfied,Every day,Always,Never,Above average,Several times per week,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Female,West South Central,Android Phone / Tablet,45-60
13386203999,415873795,2022-03-09 22:39:37,2022-03-09 22:41:47,,,,,86a4b5aafed8ed1d8f9d67a249,smc,,,,I am currently not employed,Registered nurse,Other (please specify),Stay at home parent,Virginia,Very happy,Trade/Vocation School,Married or domestic partnership,Female,,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Very desirable,Strongly disagree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13386203225,415873795,2022-03-09 22:39:43,2022-03-09 22:41:30,,,,,03df40d6e9b84e4f25d326eb62,smc,,,,Finance & Financial Services,Bookkeeper,Intermediate,,Missouri,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Dissatisfied,Once a month,Always,Never,Average,Once per week,Somewhat desirable,Strongly disagree,"$50,000-$74,999",Male,West North Central,iOS Phone / Tablet,30-44
13386201337,415873795,2022-03-09 22:36:21,2022-03-09 22:40:50,,,,,4ddd851de94a3c56933962125a,smc,,,,I am currently not employed,Cashier,Other (please specify),None,North Carolina,Somewhat happy,High School,Married or domestic partnership,Female,,Very dissatisfied,Less than once a month,Never,Never,Far below average,Once per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13386194257,415873795,2022-03-09 22:37:32,2022-03-09 22:38:10,,,,,6e62c8d32037b24bd1eacfa67d,smc,,,,Airlines & Aerospace (including Defense),Janitor,Senior Management,,Alaska,Somewhat happy,Ph.D. or higher,"Single, never married",Male,,Satisfied,Once a month,Sometimes,Usually,Above average,Several times per week,Very desirable,Agree,"$0-$9,999",Male,Pacific,iOS Phone / Tablet,18-29
13386193972,415873795,2022-03-09 22:36:47,2022-03-09 22:38:03,,,,,71d96de6db06adec9e6076b0c4,smc,,,,Entertainment & Leisure,Software developer,Senior Management,,Massachusetts,Somewhat happy,Master's Degree,Divorced,Male,,Satisfied,A few times a month,Usually,Usually,Average,Several times per week,Somewhat desirable,Somewhat agree,"$75,000-$99,999",Male,New England,iOS Phone / Tablet,18-29
13386191373,415873795,2022-03-09 22:34:03,2022-03-09 22:37:03,,,,,cec41d751c352f0d51d66a41ca,smc,,,,Education,Administrative assistant,Intermediate,,Virginia,Somewhat unhappy,Trade/Vocation School,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,A few times a month,Usually,Rarely,Average,Once per week,Not so desirable,Somewhat agree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13386189773,415873795,2022-03-09 22:33:40,2022-03-09 22:36:27,,,,,2210aaa7e539f55216cc215772,smc,,,,Healthcare & Pharmaceuticals,"Medical assistant, Health Coach",Owner/Executive/C-Level,,Georgia,Very happy,High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Never,Far above average,Every day of the week,Somewhat desirable,Somewhat disagree,"$50,000-$74,999",Male,South Atlantic,iOS Phone / Tablet,30-44
13386189541,415873795,2022-03-09 22:31:35,2022-03-09 22:36:21,,,,,8f2c82085f5ff53b746d0468eb,smc,,,,I am currently not employed,Marketing specialist,Other (please specify),Retired,Texas,Very happy,High School,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$10,000-$24,999",Male,West South Central,iOS Phone / Tablet,> 60
13386180143,415873795,2022-03-09 22:30:39,2022-03-09 22:32:50,,,,,efcfaa6257b2c3d27183e71c2c,smc,,,,Healthcare & Pharmaceuticals,Administrative assistant,Intermediate,,Virginia,Somewhat happy,Bachelor's Degree,Divorced,Female,,Very dissatisfied,Less than once a month,Always,Never,Above average,Several times per week,Not so desirable,Strongly disagree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13386173275,415873795,2022-03-09 22:27:46,2022-03-09 22:30:17,,,,,35f322bf042a869f93a6724b74,smc,,,,Transportation & Delivery,Truck Driver,Other (please specify),Driver,Texas,Somewhat happy,High School,Married or domestic partnership,Male,,Very satisfied,A few times a week,Always,Never,Above average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Male,West South Central,iOS Phone / Tablet,45-60
13386170961,415873795,2022-03-09 22:26:08,2022-03-09 22:29:25,,,,,24841b6f41815bb3b890124e35,smc,,,,I am currently not employed,Office clerk,Other (please specify),Retired,North Dakota,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,A few times a month,Sometimes,Never,Average,I never work out or exercise,Not so desirable,Strongly agree,"$50,000-$74,999",Female,West North Central,iOS Phone / Tablet,> 60
13386166787,415873795,2022-03-09 22:23:40,2022-03-09 22:27:45,,,,,5bc09963824af9454ffa3d4263,smc,,,,"Telecommunications, Technology, Internet & Electronics","Operations manager, Learning Experience Designer",Intermediate,,Pennsylvania,Very happy,Master's Degree,Married or domestic partnership,Male,,Very satisfied,A few times a week,Always,Never,Average,Several times per week,Very desirable,Strongly disagree,"$100,000-$124,999",Male,Middle Atlantic,Android Phone / Tablet,18-29
13386160215,415873795,2022-03-09 22:23:18,2022-03-09 22:25:20,,,,,50727aa70e483c49342f083254,smc,,,,Food & Beverages,Food preparation worker,Entry Level,,Colorado,Neither happy nor unhappy,Trade/Vocation School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Never,Never,Far below average,Less than once per week,Not so desirable,Neither agree nor disagree,"$25,000-$49,999",Female,Mountain,Android Phone / Tablet,45-60
13386160002,415873795,2022-03-09 22:24:36,2022-03-09 22:25:14,,,,,4761fb9649d4bbd5443096967a,smc,,,,"Construction, Machinery, and Homes",Retail sales associate,Senior Management,,Arkansas,Very happy,High School,Widowed,Male,,Very dissatisfied,About once a week,Always,Never,Above average,Less than once per week,Somewhat desirable,Somewhat disagree,"$125,000-$149,999",Male,West North Central,Android Phone / Tablet,18-29
13386148200,415873795,2022-03-09 22:19:41,2022-03-09 22:20:52,,,,,742ffa20e63e95cc9cbfe53134,smc,,,,Real Estate,Operations manager,Middle Management,,Connecticut,Neither happy nor unhappy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,A few times a week,Always,Never,Above average,Several times per week,Not so desirable,Agree,"$100,000-$124,999",Male,New England,Windows Desktop / Laptop,> 60
13386147045,415873795,2022-03-09 22:18:07,2022-03-09 22:20:26,,,,,96e73b007abd2786644b2d6063,smc,,,,Retail & Consumer Durables,Retail sales associate,Middle Management,,Georgia,Neither happy nor unhappy,Bachelor's Degree,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Always,Sometimes,Average,Every day of the week,Somewhat desirable,Somewhat agree,"$25,000-$49,999",Female,South Atlantic,iOS Phone / Tablet,45-60
13386146799,415873795,2022-03-09 22:16:30,2022-03-09 22:20:21,,,,,3d063760d62d744397699e9114,smc,,,,I am currently not employed,Lawyer,Other (please specify),retired,Illinois,Very happy,Ph.D. or higher,Married or domestic partnership,Male,,Very satisfied,A few times a week,Always,Never,Far above average,Several times per week,Somewhat desirable,Somewhat disagree,"$125,000-$149,999",Male,East North Central,Windows Desktop / Laptop,> 60
13386146563,415873795,2022-03-09 22:18:31,2022-03-09 22:20:15,,,,,7ca9ff719dc5c957a442b38658,smc,,,,Food & Beverages,Food preparation worker,Entry Level,,California,Somewhat happy,High School,"Single, never married",Male,,Satisfied,Less than once a month,Sometimes,Never,Average,Several times per week,Somewhat desirable,Agree,"$25,000-$49,999",Male,Pacific,iOS Phone / Tablet,18-29
13386132741,415873795,2022-03-09 22:13:22,2022-03-09 22:15:17,,,,,c632e67908d4c7e615dacfe2ca,smc,,,,Government,Line supervisor,Middle Management,,Michigan,Very happy,Bachelor's Degree,Widowed,Male,,Very satisfied,A few times a week,Usually,Never,Above average,I never work out or exercise,Somewhat desirable,Neither agree nor disagree,"$200,000+",Male,East North Central,iOS Phone / Tablet,> 60
13386123407,415873795,2022-03-09 22:10:03,2022-03-09 22:11:54,,,,,94997d88524be4a7d666f46bae,smc,,,,Healthcare & Pharmaceuticals,"Registered nurse, Paramedic",Intermediate,,Missouri,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Very dissatisfied,Less than once a month,Always,Never,Average,Every day of the week,Somewhat desirable,Agree,"$50,000-$74,999",Male,West North Central,Android Phone / Tablet,45-60
13386122656,415873795,2022-03-09 22:08:35,2022-03-09 22:11:39,,,,,f8f85cc5345263c54e4d0d01a9,smc,,,,"Telecommunications, Technology, Internet & Electronics",Line supervisor,Intermediate,,Kentucky,Neither happy nor unhappy,High School,Married or domestic partnership,Male,,Dissatisfied,A few times a month,Always,Rarely,Average,Every day of the week,Somewhat desirable,Disagree,"$25,000-$49,999",Male,East South Central,Android Phone / Tablet,45-60
13386121317,415873795,2022-03-09 22:09:03,2022-03-09 22:11:12,,,,,69d1b2d4d3846a655fc5fa6bfb,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Middle Management,,Michigan,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Rarely,Average,Less than once per week,Somewhat desirable,Somewhat disagree,"$75,000-$99,999",Female,East North Central,iOS Phone / Tablet,45-60
13386112331,415873795,2022-03-09 22:01:54,2022-03-09 22:08:00,,,,,2b4853d39751886c5515479827,smc,,,,Healthcare & Pharmaceuticals,"Registered nurse, Behavioral therapist",Other (please specify),Technician,Florida,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,About once a week,Always,Never,Above average,Several times per week,Very desirable,Neither agree nor disagree,"$125,000-$149,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13386108346,415873795,2022-03-09 22:04:16,2022-03-09 22:06:38,,,,,199751999d115e740f6fa7a6dc,smc,,,,Business Support & Logistics,Lawyer,Senior Management,,Florida,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Neither satisfied nor dissatisfied,A few times a month,Always,Never,Above average,Several times per week,Somewhat desirable,Strongly agree,"$50,000-$74,999",Male,South Atlantic,iOS Phone / Tablet,45-60
13386107785,415873795,2022-03-09 22:05:35,2022-03-09 22:06:27,,,,,9690258c7e86bff44422edb26a,smc,,,,Government,Administrative assistant,Intermediate,,New York,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Satisfied,A few times a month,Always,Sometimes,Far above average,Once per week,Extremely desirable,Agree,"$75,000-$99,999",Male,Middle Atlantic,iOS Phone / Tablet,18-29
13386100832,415873795,2022-03-09 22:00:42,2022-03-09 22:04:04,,,,,67dd7c13642d64eb929a9e6df5,smc,,,,Government,"Operations manager, Town Manager ",Senior Management,,Massachusetts,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Male,,Satisfied,About once a week,Always,Never,Average,Several times per week,Not so desirable,Disagree,"$50,000-$74,999",Male,New England,MacOS Desktop / Laptop,> 60
13386100686,415873795,2022-03-09 21:58:50,2022-03-09 22:04:00,,,,,f5dca818ea0086bd911a435f02,smc,,,,Agriculture,Mechanic,Intermediate,,Florida,Somewhat happy,Some High School,"Single, never married",Male,,Very satisfied,About once a week,Usually,Rarely,Above average,Once per week,Somewhat desirable,Neither agree nor disagree,"$0-$9,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13386100188,415873795,2022-03-09 22:02:11,2022-03-09 22:03:49,,,,,4787af2c923056a798e0050091,smc,,,,Retail & Consumer Durables,Retail sales associate,Entry Level,,North Carolina,Neither happy nor unhappy,High School,"Single, never married",Male,,Dissatisfied,Less than once a month,Never,Never,Far below average,Once per week,Somewhat desirable,Disagree,"$10,000-$24,999",Male,South Atlantic,iOS Phone / Tablet,18-29
13386098442,415873795,2022-03-09 22:01:32,2022-03-09 22:03:14,,,,,7748db925029792ce97fe382ad,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,Intermediate,,Texas,Somewhat happy,Master's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Usually,Rarely,Above average,Several times per week,Very desirable,Somewhat agree,"$75,000-$99,999",Female,Pacific,Android Phone / Tablet,45-60
13386089800,415873795,2022-03-09 21:58:02,2022-03-09 22:00:10,,,,,19e87d37e5b46de69270b676c6,smc,,,,"Utilities, Energy, and Extraction",Operations manager,Intermediate,,California,Somewhat happy,Master's Degree,Widowed,Male,,Satisfied,A few times a month,Never,Rarely,Average,Several times per week,Somewhat desirable,Disagree,"$125,000-$149,999",Male,Pacific,Android Phone / Tablet,> 60
13386089529,415873795,2022-03-09 21:58:46,2022-03-09 22:00:04,,,,,8c869b2814c3f581b0e2897945,smc,,,,Food & Beverages,Stocking associate,Entry Level,,Connecticut,Neither happy nor unhappy,High School,"Single, never married",Male,,Satisfied,About once a week,Usually,Rarely,Far above average,Once per week,Somewhat desirable,Neither agree nor disagree,"$125,000-$149,999",Male,New England,Android Phone / Tablet,18-29
13386088934,415873795,2022-03-09 21:58:20,2022-03-09 21:59:50,,,,,f4e1d2723698330fb52f498bed,smc,,,,"Construction, Machinery, and Homes",Laborer,Intermediate,,Kentucky,Somewhat unhappy,High School,Divorced,Female,,Neither satisfied nor dissatisfied,Less than once a month,Rarely,Never,Above average,Once per week,Not so desirable,Neither agree nor disagree,"$75,000-$99,999",Female,East South Central,Android Phone / Tablet,45-60
13386088859,415873795,2022-03-09 21:57:30,2022-03-09 21:59:49,,,,,8af4fdbb91f66e3476d9911689,smc,,,,I am currently not employed,Office clerk,Other (please specify),unemployed,Ohio,Neither happy nor unhappy,Some High School,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,I never work out or exercise,Not so desirable,Neither agree nor disagree,"$25,000-$49,999",Male,East North Central,Android Phone / Tablet,45-60
13386088354,415873795,2022-03-09 21:49:33,2022-03-09 21:59:35,,,,,fb821981bd671dbc78e2e81f58,smc,,,,Entertainment & Leisure,"Cashier, Florist",Owner/Executive/C-Level,,Florida,Somewhat happy,Bachelor's Degree,"Single, never married",Female,,Neither satisfied nor dissatisfied,Every day,Always,Never,Above average,Every day of the week,Very desirable,Somewhat disagree,"$25,000-$49,999",Female,South Atlantic,Android Phone / Tablet,30-44
13386087337,415873795,2022-03-09 21:51:37,2022-03-09 21:59:10,,,,,58925d7d14515d067fe2e73f4e,smc,,,,Education,"Administrative assistant, Teacher",Middle Management,,Nebraska,Somewhat happy,High School,"Single, never married",Female,,Satisfied,A few times a week,Sometimes,Rarely,Above average,Several times per week,Somewhat desirable,Somewhat disagree,"$0-$9,999",Female,West North Central,Android Phone / Tablet,30-44
13386084407,415873795,2022-03-09 21:31:45,2022-03-09 21:58:07,,,,,2d368df648ed29ca99db932ebd,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Other (please specify),Staff nurse,Maine,Somewhat happy,Bachelor's Degree,Divorced,Female,,Dissatisfied,Less than once a month,Always,Never,Average,I never work out or exercise,Somewhat desirable,Strongly disagree,"$50,000-$74,999",Female,New England,iOS Phone / Tablet,45-60
13386081029,415873795,2022-03-09 21:55:49,2022-03-09 21:56:54,,,,,a64acda9f51ee2c0a30abbec8c,smc,,,,Manufacturing,Janitor,Senior Management,,Louisiana,Very happy,No schooling completed,,Male,,Satisfied,About once a week,Usually,Usually,Above average,Several times per week,Very desirable,Agree,"$0-$9,999",Male,West South Central,iOS Phone / Tablet,45-60
13386077626,415873795,2022-03-09 21:53:42,2022-03-09 21:55:43,,,,,de8b0e563300449d166948df67,smc,,,,I am currently not employed,Server,Entry Level,,Oregon,Very happy,High School,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Never,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$25,000-$49,999",Female,Pacific,Android Phone / Tablet,> 60
13386075281,415873795,2022-03-09 21:52:33,2022-03-09 21:54:56,,,,,9c470d106fd9304a652f67fd9b,smc,,,,Education,Laborer,Intermediate,,Indiana,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Satisfied,A few times a month,Usually,Never,Average,Several times per week,Somewhat desirable,Disagree,"$75,000-$99,999",Male,East North Central,iOS Phone / Tablet,> 60
